skip|69-HC-1268||||||
080:38:20|AS13-60-8682|||Giordano Bruno. Mare Crisium and Mare Humoldtianum, Joliot|||
080:49:15|AS13-60-8683|||Mare Crisium, Mare Tranquillitatis, Mare Fecunditatis, Mare Serenitatis, Langrenus|||
080:49:25|AS13-60-8684|||Mare Crisium, Mare Tranquillitatis, Mare Fecunditatis, Mare Serenitatis, Langrenus|||
080:49:38|AS13-60-8685|||Mare Crisium, Mare Marginius, Mare Fecunditatis, Mare Tranquillitatis, Mare Undarum, Proclus|||
080:49:52|AS13-60-8686|||Humboldt, Langrrenus, Mare Fecundatatis, Mare Nectaris and Mare Australe|||
080:50:05|AS13-60-8687|||Langrenus, Mare Fecunditatis, Mare Tranquillitatis, Mare Nectaris, Goclenius, Taruntius|||
080:50:20|AS13-60-8688|||Mare Australe, Humboldt, Mare Nectaris, Vallis Snellius|||
080:50:33|AS13-60-8689|||Mare Nectaris, Fracastorius|||
080:50:44|AS13-60-8690|||Mare Tranquillitatis, Dionysius|||
080:50:57|AS13-60-8691|||Mare Smythii, Mare Marginis, Mare Crisium, Goddard, Langrenus|||
080:51:10|AS13-60-8692|||Mare Serenitatis, Mare Humboldtianum, Joliot|||
080:51:30|AS13-60-8693|||Mare Crisium, Mare Fecunditatis, Mare Tranquillitatis, Mare Serenitatis, Mare Vaporum|||
080:51:47|AS13-60-8694|||Mare Crisium, Mare Marginis, Mare Smythii, Giordano Bruno|||
080:52:01|AS13-60-8695|||Mare Nectaris, Fracastoriuss|||
080:52:16|AS13-60-8696|||Mare Crisium, Mare Fecunditatis, Mare Tranquillitatis, Mare Serenitatis, Mare Vaporum|||
080:52:33|AS13-60-8697|||Mare Crisium, Lacus Somniorum, Mare Huboldtianum, Mare Marginis, Joloit|||
081:12:05|AS13-60-8698|||Mare Australe, Mare Fecunditatis, Mare Crisium, Mare Smythii, Mare Marginis|||
081:12:15|AS13-60-8699|||Tsiolkovsky, Mare Marginis, Mare Smythii, Goddard|||
081:43:45|AS13-60-8700|||Mare Australe, Mare Fecunditatis, Mare Crisium, Mare Smythii, Mare Marginis, Mare Nectaris|||
081:44:05|AS13-60-8701|||Mare Australe, Mare Fecunditatis, Mare Crisium, Mare Smythii, Mare Serenitatis, Mare Nectaris|||
081:55:40|AS13-60-8702|||Mare Australe, Mare Fecunditatis, Mare Nectaris, Mare Tranquillitatis, Langrenus|||
081:56:00|AS13-60-8703|||Mare Frigoris, Mare Serenitatis, Mare Tranquillitatis, Mare Crisium, Mare Nectaris, Mare Fecunditatis, through the LMP LM window|||
081:56:20|AS13-60-8704|||Mare Frigoris, Mare Serenitatis, Mare Tranquillitatis, Mare Crisium, Mare Nectaris, Mare Fecunditatis, through the LMP LM window|||
081:56:40|AS13-60-8705|||Mare Tranquillitatis, Mare Crisium, Mare Nectaris, Mare Fecunditatis, Mare Marginis, Mare Smythii, through the LMP LM window|||
083:18:40|AS13-60-8707|||Moon eastern hemisphere|||
083:19:00|AS13-60-8708|||Moon eastern hemisphere|||
083:19:20|AS13-60-8709|||Moon eastern hemisphere|||
083:19:40|AS13-60-8710|||Moon eastern hemisphere|||
083:20:00|AS13-60-8711|||Moon eastern hemisphere|||
083:20:20|AS13-60-8712|||Moon eastern hemisphere|||
083:20:40|AS13-60-8713|||Moon eastern hemisphere|||
083:21:00|AS13-60-8714|||Moon eastern hemisphere|||
083:21:20|AS13-60-8715|||Moon eastern hemisphere|||
083:30:15|AS13-60-8716|||Earth with cloud cover Pacific|||
083:30:35|AS13-60-8717|||Earth with cloud cover Pacific|||
083:38:10|AS13-60-8718|||Moon eastern hemisphere|||
083:38:30|AS13-60-8719|||Moon eastern hemisphere|||
094:45:00|AS13-60-8720|||Earth, North Africa and the Atlantic Ocean|||
094:52:00|AS13-60-8721|||Earth, North Africa and the Atlantic Ocean|||
